jci_name,description,sensor_type,sensor_error,unit,type,data_type,name
BH.1STFLR.RM-1511.VAV-5.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 5 ACTCLG SP
BH.1STFLR.RM-1502.VAV-8.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 8 ACTCLG SP
BH.1STFLR.RM-1506.VAV-10.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 10 ACTCLG SP
BONNER.1ST-FLR.RM-1106.VAV-1106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH3 SAV 004 ACTCLG STPT
BONNER.1ST-FLR.RM-1241.VAV-1241.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 005 ACTCLG STPT
BONNER.1ST-FLR.RM-1005.VAV-1005.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 006 ACTCLG STPT
BONNER.1ST-FLR.RM-C1000.VAV-C1000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 007 ACTCLG STPT
BONNER.1ST-FLR.RM-1449A.VAV-1449A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 008 ACTCLG STPT
BONNER.1ST-FLR.RM-1425.VAV-1425.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 009 ACTCLG STPT
BONNER.1ST-FLR.RM-1449B.VAV-1449B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 010 ACTCLG STPT
BONNER.1ST-FLR.RM-1329.VAV-1329-1A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 011 ACTCLG STPT
BONNER.1ST-FLR.RM-1423.VAV-1423.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 014 ACTCLG STPT
BONNER.1ST-FLR.RM-1449.VAV-1449.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 015 ACTCLG STPT
BONNER.1ST-FLR.RM-1309.VAV-1309-1A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 016 ACTCLG STPT
BONNER.1ST-FLR.RM-1305.VAV-1305.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 VMA 019 ACTCLG STPT
BONNER.1ST-FLR.RM-1404.VAV-1404.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 021 ACTCLG STPT
BONNER.1ST-FLR.RM-1402.VAV-1402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 022 ACTCLG STPT
BONNER.1ST-FLR.RM-1413.VAV-1413.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 023 ACTCLG STPT
BONNER.2ND-FLR.RM-2129.VAV-2129.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 004 ACTCLG STPT
BONNER.2ND-FLR.RM-2230.VAV-2230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 005 ACTCLG STPT
BONNER.2ND-FLR.RM-2235.VAV-2235.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 007 ACTCLG STPT
BONNER.2ND-FLR.RM-2235A.VAV-2235A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 008 ACTCLG STPT
BONNER.2ND-FLR.RM-2229.VAV-2229.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 009 ACTCLG STPT
BONNER.2ND-FLR.RM-2222.VAV-2222.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 011 ACTCLG STPT
BONNER.2ND-FLR.RM-2121.VAV-2121-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 014 ACTCLG STPT
BONNER.2ND-FLR.RM-2213.VAV-2213.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 018 ACTCLG STPT
BONNER.2ND-FLR.RM-2214.VAV-2214.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 019 ACTCLG STPT
BONNER.2ND-FLR.RM-2121A.VAV-2121A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 021 ACTCLG STPT
BONNER.2ND-FLR.RM-2206.VAV-2206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 023 ACTCLG STPT
BONNER.2ND-FLR.RM-2201.VAV-2201.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 024 ACTCLG STPT
BONNER.2ND-FLR.RM-2202.VAV-2202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 025 ACTCLG STPT
BONNER.2ND-FLR.RM-2129A.VAV-2129A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 027 ACTCLG STPT
BONNER.2ND-FLR.RM-2150C.VAV-2150C.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 029 ACTCLG STPT
BONNER.2ND-FLR.RM-2145B.VAV-2145B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 030 ACTCLG STPT
BONNER.2ND-FLR.RM-2140.VAV-2140.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 031 ACTCLG STPT
BONNER.2ND-FLR.RM-2150.VAV-2150.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 034 ACTCLG STPT
BONNER.2ND-FLR.RM-2229C.VAV-2229-3.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 035 ACTCLG STPT
BONNER.2ND-FLR.RM-2001.VAV-2001.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 012 ACTCLG STPT
BONNER.2ND-FLR.RM-2150A.VAV-2150A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 013 ACTCLG STPT
BONNER.2ND-FLR.RM-2129B.VAV-2129B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 028 ACTCLG STPT
BONNER.2ND-FLR.RM-2234.VAV-2234.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 038 ACTCLG STPT
BONNER.2ND-FLR.RM-2242.VAV-2242.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 VMA 005 ACTCLG STPT
BONNER.2ND-FLR.RM-2000.VAV-2000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 SAV 009 ACTCLG STPT
BONNER.2ND-FLR.RM-2002.VAV-2002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 011 ACTCLG STPT
BONNER.2ND-FLR.RM-2325.VAV-2325.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 FEC 012 ACTCLG STPT
BONNER.2ND-FLR.RM-2417.VAV-2417-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 013 ACTCLG STPT
BONNER.2ND-FLR.RM-2422.VAV-2422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 017 ACTCLG STPT
BONNER.2ND-FLR.RM-2430.VAV-2430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 018 ACTCLG STPT
BONNER.2ND-FLR.RM-2317.VAV-2317-3.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 022 ACTCLG STPT
BONNER.2ND-FLR.RM-2418.VAV-2418.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 024 ACTCLG STPT
BONNER.2ND-FLR.RM-2414.VAV-2414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 025 ACTCLG STPT
